id,name,link,isPrestige,book,bookLink
1,Abjurant Champion,/classes/complete-mage--58/abjurant-champion/,true,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
2,Abjurer Variant,/classes/unearthed-arcana--90/abjurer-variant/,false,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
3,Abolisher,/classes/lords-of-madness--72/abolisher/,true,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
4,Acolyte of the Ego,/classes/tome-of-magic--89/acolyte-of-the-ego/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
5,Acolyte of the Skin,/classes/complete-arcane--55/acolyte-of-the-skin/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
6,Acolyte of the Skin,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/acolyte-of-the-skin/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
7,Adept,/classes/dungeon-masters-guide-v35--4/adept/,false,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
8,Aerial Avenger,/classes/dragon-compendium--109/aerial-avenger/,true,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
9,Agent Retriever,/classes/epic-level-handbook--41/agent-retriever/,true,Epic Level Handbook,/rulebooks/supplementals-30--7/epic-level-handbook--41/
10,Aglarondan Griffonrider,/classes/unapproachable-east--33/aglarondan-griffonrider/,true,Unapproachable East,/rulebooks/forgotten-realms-30--6/unapproachable-east--33/
11,Akodo Champion,/classes/oriental-adventures--96/akodo-champion/,true,Oriental Adventures,/rulebooks/oriental-adventures--8/oriental-adventures--96/
12,Alchemist Savant,/classes/magic-of-eberron--9/alchemist-savant/,true,Magic of Eberron,/rulebooks/eberron-35--3/magic-of-eberron--9/
13,Alienist,/classes/complete-arcane--55/alienist/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
14,Alienist,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/alienist/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
15,Anarchic Initiate,/classes/complete-psionic--59/anarchic-initiate/,true,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
16,Ancient Master,/classes/serpent-kingdoms--24/ancient-master/,true,Serpent Kingdoms,/rulebooks/forgotten-realms-35--4/serpent-kingdoms--24/
17,Anima Mage,/classes/tome-of-magic--89/anima-mage/,true,Tome of Magic,/rulebooks/supplementals-35--5/tome-of-magic--89/
18,Animal Lord,/classes/complete-adventurer--54/animal-lord/,true,Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/
19,Animal Lord,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/animal-lord/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
20,Anointed Knight,/classes/book-of-exalted-deeds--52/anointed-knight/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
21,Apostle of Peace,/classes/book-of-exalted-deeds--52/apostle-of-peace/,true,Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/
22,Arachne,/classes/faiths-pantheons--18/arachne/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
23,Arachnomancer,/classes/drow-of-the-underdark--93/arachnomancer2/,true,Drow of the Underdark,/rulebooks/supplementals-35--5/drow-of-the-underdark--93/
24,Arachnomancer,/classes/underdark--34/arachnomancer/,true,Underdark,/rulebooks/forgotten-realms-35--4/underdark--34/
25,Arboreal Guardian,/classes/ghostwalk--94/arboreal-guardian/,true,Ghostwalk,/rulebooks/supplementals-30--7/ghostwalk--94/
26,Arcane Archer,/classes/dungeon-masters-guide-v35--4/arcane-archer/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
27,Arcane Devotee,/classes/forgotten-realms-campaign-setting--19/arcane-devotee/,true,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
28,Arcane Devotee,/classes/players-guide-to-faerun--22/arcane-devotee/,true,/rulebooks/forgotten-realms-35--4/players-guide-to-faerun--22/
29,Arcane Hierophant,/classes/races-of-the-wild--84/arcane-hierophant/,true,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
30,Arcane Trickster,/classes/dungeon-masters-guide-v35--4/arcane-trickster/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
31,Arcane Trickster,/classes/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/arcane-trickster/,true,Tome and Blood: A Guidebook to Wizards and Sorcerers,/rulebooks/supplementals-30--7/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/
32,Arcanopath Monk,/classes/dragon-compendium--109/arcanopath-monk/,true,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
33,Archivist,/classes/heroes-of-horror--70/archivist/,false,Heroes of Horror,/rulebooks/supplementals-35--5/heroes-of-horror--70/
34,Archmage,/classes/dungeon-masters-guide-v35--4/archmage/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
35,Archmage,/classes/forgotten-realms-campaign-setting--19/archmage/,true,Forgotten Realms Campaign Setting,/rulebooks/forgotten-realms-30--6/forgotten-realms-campaign-setting--19/
36,Ardent,/classes/complete-psionic--59/ardent/,false,Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/
37,Ardent Dilettante,/classes/planar-handbook--79/ardent-dilettante/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
38,Argent Fist,/classes/faiths-of-eberron--8/argent-fist/,true,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
39,Argent Savant,/classes/complete-arcane--55/argent-savant/,true,Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/
40,Aristocrat,/classes/dungeon-masters-guide-v35--4/aristocrat/,false,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
41,Artificer,/classes/eberron-campaign-setting--12/artificer/,false,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
42,Ashworm Dragoon,/classes/sandstorm--85/ashworm-dragoon/,true,Sandstorm,/rulebooks/supplementals-35--5/sandstorm--85/
43,Assassin,/classes/dungeon-masters-guide-v35--4/assassin/,true,Dungeon Master&#39;s Guide v.3.5,/rulebooks/core-35--1/dungeon-masters-guide-v35--4/
44,Astral Dancer,/classes/planar-handbook--79/astral-dancer/,true,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
45,Atavist,/classes/races-of-eberron--10/atavist/,true,Races of Eberron,/rulebooks/eberron-35--3/races-of-eberron--10/
46,Auspician,/classes/faiths-pantheons--18/auspician/,true,Faiths &amp; Pantheons,/rulebooks/forgotten-realms-30--6/faiths-pantheons--18/
47,Avenging Executioner,/classes/complete-scoundrel--60/avenging-executioner/,true,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
48,Bane of Infidels,/classes/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/bane-of-infidels/,true,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,/rulebooks/supplementals-30--7/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/
49,Barbarian,/classes/eberron-campaign-setting--12/barbarian/,false,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
