id,name,link,book,bookLink
1,Aberrant Dragonmark,/feats/eberron-campaign-setting--12/aberrant-dragonmark--2/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
2,Aberrant Dragonmark Gift,/feats/players-guide-to-eberron--13/aberrant-dragonmark-gift--3/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
3,Aberrant Dragonmark Mystery,/feats/players-guide-to-eberron--13/aberrant-dragonmark-mystery--4/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
4,Aberrant Dragonmark Vigor,/feats/players-guide-to-eberron--13/aberrant-dragonmark-vigor--5/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
5,Aberration Banemagic,/feats/players-guide-to-eberron--13/aberration-banemagic--7/,Player&#39;s Guide to Eberron,/rulebooks/eberron-35--3/players-guide-to-eberron--13/
6,Aberration Banemagic,/feats/lords-of-madness--72/aberration-banemagic--3752/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
7,Aberration Blood,/feats/lords-of-madness--72/aberration-blood--8/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
8,Aberration Wild Shape,/feats/lords-of-madness--72/aberration-wild-shape--9/,Lords of Madness,/rulebooks/supplementals-35--5/lords-of-madness--72/
9,Ability Enchancer,/feats/dragon-compendium--109/ability-enchancer--3330/,Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/
10,Ability Focus,/feats/monster-manual-ii--45/ability-focus--10/,Monster Manual II,/rulebooks/supplementals-35--5/monster-manual-ii--45/
11,Ability Focus,/feats/monster-manual-iii--76/ability-focus--11/,Monster Manual III,/rulebooks/supplementals-35--5/monster-manual-iii--76/
12,Ability Focus,/feats/monster-manual-v35--5/ability-focus--12/,Monster Manual v.3.5,/rulebooks/core-35--1/monster-manual-v35--5/
13,Ability Focus,/feats/monster-manual-iv--77/ability-focus--13/,Monster Manual IV,/rulebooks/supplementals-35--5/monster-manual-iv--77/
14,Ability Focus,/feats/monster-manual-v--78/ability-focus--14/,Monster Manual V,/rulebooks/supplementals-35--5/monster-manual-v--78/
15,Ability Focus,/feats/savage-species--47/ability-focus--15/,Savage Species,/rulebooks/supplementals-30--7/savage-species--47/
16,Able Learner,/feats/races-of-destiny--81/able-learner--16/,Races of Destiny,/rulebooks/supplementals-35--5/races-of-destiny--81/
17,Able Sniper,/feats/races-of-the-wild--84/able-sniper--17/,Races of the Wild,/rulebooks/supplementals-35--5/races-of-the-wild--84/
18,Abominable Form,/feats/elder-evils--110/abominable-form--3523/,Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/
19,Abrasive,/feats/unearthed-arcana--90/abrasive--18/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
20,Absent-minded,/feats/unearthed-arcana--90/absent-minded--19/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
21,Abyss-Bound Soul,/feats/fiendish-codex-i-hordes-of-the-abyss--66/abyss-bound-soul--20/,Fiendish Codex I: Hordes of the Abyss,/rulebooks/supplementals-35--5/fiendish-codex-i-hordes-of-the-abyss--66/
22,Abyss-Bound Soul,/feats/elder-evils--110/abyss-bound-soul--3511/,Elder Evils,/rulebooks/supplementals-35--5/elder-evils--110/
23,Accelerate Metamagic,/feats/races-of-the-dragon--83/accelerate-metamagic--21/,Races of the Dragon,/rulebooks/supplementals-35--5/races-of-the-dragon--83/
24,Accurate Jaunt,/feats/unearthed-arcana--90/accurate-jaunt--22/,Unearthed Arcana,/rulebooks/supplementals-35--5/unearthed-arcana--90/
25,Acheron Flurry,/feats/planar-handbook--79/acheron-flurry--23/,Planar Handbook,/rulebooks/supplementals-35--5/planar-handbook--79/
26,Acidic Splatter,/feats/complete-mage--58/acidic-splatter--24/,Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/
27,Acrobatic,/feats/players-handbook-v35--6/acrobatic--25/,Player&#39;s Handbook v.3.5,/rulebooks/core-35--1/players-handbook-v35--6/
28,Acrobatic,/feats/song-and-silence-a-guidebook-to-bards-and-rogues--48/acrobatic--3530/,Song and Silence: A Guidebook to Bards and Rogues,/rulebooks/supplementals-30--7/song-and-silence-a-guidebook-to-bards-and-rogues--48/
29,Acrobatic Backstab,/feats/complete-scoundrel--60/acrobatic-backstab--3275/,Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/
30,Acrobatic Strike,/feats/players-handbook-ii--80/acrobatic-strike--27/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
31,Action Boost,/feats/eberron-campaign-setting--12/action-boost--28/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
32,Action Healing,/feats/faiths-of-eberron--8/action-healing--29/,Faiths of Eberron,/rulebooks/eberron-35--3/faiths-of-eberron--8/
33,Action Surge,/feats/eberron-campaign-setting--12/action-surge--30/,Eberron Campaign Setting,/rulebooks/eberron-35--3/eberron-campaign-setting--12/
34,Active Shield Defense,/feats/players-handbook-ii--80/active-shield-defense--31/,Player&#39;s Handbook II,/rulebooks/supplementals-35--5/players-handbook-ii--80/
