Book, link, edition, editionLink
Book of Challenges: Dungeon Rooms Puzzles and Traps,/rulebooks/supplementals-30--7/book-of-challenges-dungeon-rooms-puzzles-and-traps--36/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Book of Exalted Deeds,/rulebooks/supplementals-35--5/book-of-exalted-deeds--52/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Book of Vile Darkness,/rulebooks/supplementals-30--7/book-of-vile-darkness--37/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Champions of Ruin,/rulebooks/forgotten-realms-35--4/champions-of-ruin--27/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
Champions of Valor,/rulebooks/forgotten-realms-35--4/champions-of-valor--28/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
City of Splendors: Waterdeep,/rulebooks/forgotten-realms-35--4/city-of-splendors-waterdeep--16/,Forgotten Realms (3.5),/rulebooks/forgotten-realms-35--4/,
CityScape,/rulebooks/supplementals-35--5/cityscape--53/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Adventurer,/rulebooks/supplementals-35--5/complete-adventurer--54/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Arcane,/rulebooks/supplementals-35--5/complete-arcane--55/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Champion,/rulebooks/supplementals-35--5/complete-champion--57/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Divine,/rulebooks/supplementals-35--5/complete-divine--56/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Mage,/rulebooks/supplementals-35--5/complete-mage--58/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Psionic,/rulebooks/supplementals-35--5/complete-psionic--59/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Scoundrel,/rulebooks/supplementals-35--5/complete-scoundrel--60/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Complete Warrior,/rulebooks/supplementals-35--5/complete-warrior--61/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Defenders of the Faith: A Guidebook to Clerics and Paladins,/rulebooks/supplementals-30--7/defenders-of-the-faith-a-guidebook-to-clerics-and-paladins--38/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Deities and Demigods,/rulebooks/supplementals-30--7/deities-and-demigods--39/,Supplementals (3.0),/rulebooks/supplementals-30--7/,
Draconomicon,/rulebooks/supplementals-35--5/draconomicon--92/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
Dragon Compendium,/rulebooks/supplementals-35--5/dragon-compendium--109/,Supplementals (3.5),/rulebooks/supplementals-35--5/,
