id,Spell Link,Spell name,Spell School,Verbal Component,Somatic Component,Material Component,Arcane Focus Component,Divine Focus Component,XP Component,Rulebook name,Edition
1,/spells/complete-adventurer--54/protege--429/,,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Adventurer,Supplementals (3.5)
2,/spells/song-and-silence-a-guidebook-to-bards-and-rogues--48/protege--3313/,,Evocation,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Song and Silence: A Guidebook to Bards and Rogues,Supplementals (3.0)
3,/spells/spell-compendium--86/protege--4664/,,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
4,/spells/eberron-campaign-setting--12/heros-blade--4887/,,Necromancy,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Eberron Campaign Setting,Eberron (3.5)
5,/spells/dragons-of-faerun--26/abate-dracorage--1094/,Abate Dracorage,Abjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Dragons of Faerun,Forgotten Realms (3.5)
6,/spells/book-of-vile-darkness--37/aberrate--226/,Aberrate,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
7,/spells/serpent-kingdoms--24/ability-rip--3252/,Ability Rip,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Serpent Kingdoms,Forgotten Realms (3.5)
8,/spells/stormwrack--87/aboleth-curse--3352/,Aboleth Curse,Necromancy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Stormwrack,Supplementals (3.5)
9,/spells/unapproachable-east--33/abolish-shadows--3455/,Abolish Shadows,Abjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Unapproachable East,Forgotten Realms (3.0)
10,/spells/tome-of-battle-the-book-of-nine-swords--88/absolute-steel--3641/,Absolute Steel,Iron Heart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tome of Battle: The Book of Nine Swords,Supplementals (3.5)
11,/spells/book-of-vile-darkness--37/absorb-mind--151/,Absorb Mind,Divination,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
12,/spells/book-of-vile-darkness--37/absorb-strength--197/,Absorb Strength,Necromancy,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
13,/spells/complete-adventurer--54/absorb-weapon--409/,Absorb Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Adventurer,Supplementals (3.5)
14,/spells/song-and-silence-a-guidebook-to-bards-and-rogues--48/absorb-weapon--3321/,Absorb Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Song and Silence: A Guidebook to Bards and Rogues,Supplementals (3.0)
15,/spells/spell-compendium--86/absorb-weapon--3565/,Absorb Weapon,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
16,/spells/complete-arcane--55/absorption--433/,Absorption,Abjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Arcane,Supplementals (3.5)
17,/spells/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/absorption--3376/,Absorption,Abjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Tome and Blood: A Guidebook to Wizards and Sorcerers,Supplementals (3.0)
18,/spells/spell-compendium--86/absorption--3798/,Absorption,Abjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
19,/spells/planar-handbook--79/abyssal-army--2146/,Abyssal Army,Conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Planar Handbook,Supplementals (3.5)
20,/spells/spell-compendium--86/abyssal-army--3799/,Abyssal Army,Conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
21,/spells/fiendish-codex-i-hordes-of-the-abyss--66/abyssal-frenzy--1157/,Abyssal Frenzy,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Fiendish Codex I: Hordes of the Abyss,Supplementals (3.5)
22,/spells/fiendish-codex-i-hordes-of-the-abyss--66/abyssal-frenzy-mass--1158/,Abyssal Frenzy Mass,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Fiendish Codex I: Hordes of the Abyss,Supplementals (3.5)
23,/spells/book-of-vile-darkness--37/abyssal-might--129/,Abyssal Might,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
24,/spells/fiendish-codex-i-hordes-of-the-abyss--66/abyssal-rift--1147/,Abyssal Rift,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Fiendish Codex I: Hordes of the Abyss,Supplementals (3.5)
25,/spells/complete-adventurer--54/accelerated-movement--410/,Accelerated Movement,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Complete Adventurer,Supplementals (3.5)
26,/spells/spell-compendium--86/accelerated-movement--3800/,Accelerated Movement,Transmutation,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
27,/spells/complete-arcane--55/accuracy--532/,Accuracy,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Complete Arcane,Supplementals (3.5)
28,/spells/oriental-adventures--96/accuracy--2098/,Accuracy,Transmutation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
29,/spells/spell-compendium--86/acid-breath--3801/,Acid Breath,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
30,/spells/players-handbook-v35--6/acid-fog--2372/,Acid Fog,Conjuration,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Player's Handbook v.3.5,Core (3.5)
31,/spells/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/acid-orb--3391/,Acid Orb,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Tome and Blood: A Guidebook to Wizards and Sorcerers,Supplementals (3.0)
32,/spells/miniatures-handbook--75/acid-orb-lesser--1946/,Acid Orb Lesser,Conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Miniatures Handbook,Supplementals (3.5)
33,/spells/tome-and-blood-a-guidebook-to-wizards-and-sorcerers--51/lesser-acid-orb--3398/,Acid Orb Lesser,Evocation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Tome and Blood: A Guidebook to Wizards and Sorcerers,Supplementals (3.0)
34,/spells/heroes-of-battle--69/acid-rain--1399/,Acid Rain,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Heroes of Battle,Supplementals (3.5)
35,/spells/spell-compendium--86/acid-sheath--3802/,Acid Sheath,Conjuration,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
36,/spells/magic-of-faerun--20/acid-splash--1604/,Acid Splash,Conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Magic of Faerun,Forgotten Realms (3.0)
37,/spells/players-handbook-v35--6/acid-splash--2373/,Acid Splash,Conjuration,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Player's Handbook v.3.5,Core (3.5)
38,/spells/magic-of-faerun--20/acid-storm--1657/,Acid Storm,Evocation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Magic of Faerun,Forgotten Realms (3.0)
39,/spells/players-guide-to-faerun--22/acid-storm--2246/,Acid Storm,Evocation,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,Forgotten Realms (3.5)
40,/spells/spell-compendium--86/acid-storm--3803/,Acid Storm,Conjuration,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Spell Compendium,Supplementals (3.5)
41,/spells/tome-of-battle-the-book-of-nine-swords--88/action-thought--3619/,Action Before Thought,Diamond Mind,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tome of Battle: The Book of Nine Swords,Supplementals (3.5)
42,/spells/tome-of-battle-the-book-of-nine-swords--88/adamantine-bones--3707/,Adamantine Bones,Stone Dragon,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tome of Battle: The Book of Nine Swords,Supplementals (3.5)
43,/spells/tome-of-battle-the-book-of-nine-swords--88/adamantine-hurricane--3642/,Adamantine Hurricane,Iron Heart,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Tome of Battle: The Book of Nine Swords,Supplementals (3.5)
44,/spells/complete-mage--58/adamantine-wings--865/,Adamantine Wings,Transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Complete Mage,Supplementals (3.5)
45,/spells/book-of-vile-darkness--37/addiction--158/,Addiction,Enchantment,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Book of Vile Darkness,Supplementals (3.0)
46,/spells/magic-of-incarnum--74/adept-spirit--1821/,Adept Spirit,Divination,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Magic of Incarnum,Supplementals (3.5)
47,/spells/magic-of-incarnum--74/adept-spirit-mass--1822/,Adept Spirit Mass,Divination,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Magic of Incarnum,Supplementals (3.5)
48,/spells/dragon-magic--62/adoration-of-the-frightful--1062/,Adoration of the Frightful,Enchantment,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Dragon Magic,Supplementals (3.5)
49,/spells/masters-of-the-wild-a-guidebook-to-barbarians-druids-and-rangers--44/adrenaline-surge--1913/,Adrenaline Surge,Transmutation,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,Supplementals (3.0)
50,/spells/oriental-adventures--96/advice--2054/,Advice,Enchantment,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Oriental Adventures,Oriental Adventures (3.0)
51,/spells/races-of-the-wild--84/aerial-alacrity--3113/,Aerial Alacrity,Transmutation,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Races of the Wild,Supplementals (3.5)
