name,spanishName,id,type
Arms and Equipment Guide,,1,rulebooks
Book of Challenges: Dungeon Rooms Puzzles and Traps,,2,rulebooks
Book of Exalted Deeds,,3,rulebooks
Book of Vile Darkness,,4,rulebooks
Champions of Ruin,,5,rulebooks
Champions of Valor,,6,rulebooks
City of Splendors: Waterdeep,,7,rulebooks
CityScape,,8,rulebooks
Complete Adventurer,,9,rulebooks
Complete Arcane,,10,rulebooks
Complete Champion,,11,rulebooks
Complete Divine,,12,rulebooks
Complete Mage,,13,rulebooks
Complete Psionic,,14,rulebooks
Complete Scoundrel,,15,rulebooks
Complete Warrior,,16,rulebooks
Defenders of the Faith: A Guidebook to Clerics and Paladins,,17,rulebooks
Deities and Demigods,,18,rulebooks
Draconomicon,,19,rulebooks
Dragon Compendium,,20,rulebooks
Dragon Magic,,21,rulebooks
Dragonlance Campaign Setting,,22,rulebooks
Dragonmarked,,23,rulebooks
Dragons of Ebberon,,24,rulebooks
Dragons of Faerun,,25,rulebooks
Drow of the Underdark,,26,rulebooks
Dungeon Master&#39;s Guide II,,27,rulebooks
Dungeon Master&#39;s Guide v.3.5,,28,rulebooks
Dungeonscape,,29,rulebooks
Eberron Campaign Setting,,30,rulebooks
Elder Evils,,31,rulebooks
Enemies and Allies,,32,rulebooks
Epic Level Handbook,,33,rulebooks
Exemplars of Evil,,34,rulebooks
Expanded Psionics Handbook,,35,rulebooks
Expedition to Castle Ravenloft,,36,rulebooks
Expedition to the Demonweb Pits,,37,rulebooks
Explorer&#39;s Handbook,,38,rulebooks
Eyes of the Lich Queen,,39,rulebooks
Faiths &amp; Pantheons,,40,rulebooks
Faiths of Eberron,,41,rulebooks
Feats,,42,rulebooks
Fiend Folio,,43,rulebooks
Fiendish Codex I: Hordes of the Abyss,,44,rulebooks
Fiendish Codex II: Tyrants of the Nine Hells,,45,rulebooks
Five Nations,,46,rulebooks
Forgotten Realms Campaign Setting,,47,rulebooks
Frostburn,,48,rulebooks
Ghostwalk,,49,rulebooks
Heroes of Battle,,50,rulebooks
Heroes of Horror,,51,rulebooks
Libris Mortis: The Book of the Dead,,52,rulebooks
Lords of Darkness,,53,rulebooks
Lords of Madness,,54,rulebooks
Lost Empires of Faerun,,55,rulebooks
Magic Item Compendium,,56,rulebooks
Magic of Eberron,,57,rulebooks
Magic of Faerun,,58,rulebooks
Magic of Incarnum,,59,rulebooks
Manual of the Planes,,60,rulebooks
Masters of the Wild: A Guidebook to Barbarians Druids and Rangers,,61,rulebooks
Miniatures Handbook,,62,rulebooks
Monster Manual,,63,rulebooks
Monster Manual II,,64,rulebooks
Monster Manual III,,65,rulebooks
Monster Manual IV,,66,rulebooks
Monster Manual V,,67,rulebooks
Monster Manual v.3.5,,68,rulebooks
Oriental Adventures,,69,rulebooks
Planar Handbook,,70,rulebooks
Player&#39;s Guide to Eberron,,71,rulebooks
Player&#39;s Handbook 3.0,,72,rulebooks
Player&#39;s Handbook II,,73,rulebooks
