Drow,Monster Manual v.3.5,Core (3.5)
Half-ogres,Savage Species,Supplementals (3.0)
Hengeyokai,Oriental Adventures,Oriental Adventures (3.0)
Jerren,Book of Vile Darkness,Supplementals (3.0)
Korobukuru,Oriental Adventures,Oriental Adventures (3.0)
Minotaur,Monster Manual v.3.5,Core (3.5)
Orc,Monster Manual v.3.5,Core (3.5)
Spirit Folk, Bamboo,Oriental Adventures,Oriental Adventures (3.0)
Spirit Folk, River,Oriental Adventures,Oriental Adventures (3.0)
Spirit Folk, Sea,Oriental Adventures,Oriental Adventures (3.0)
Tiefling,Races of Destiny,Supplementals (3.5)
Underfolk,Races of Destiny,Supplementals (3.5)
Vanara,Oriental Adventures,Oriental Adventures (3.0)
